facts,node_amount,max_depth
1,7,7
1,5,5
8,3,3
1,4,4
2,3,3
2,2,2
35,3,3
2,5,5
6,5,5
2,6,6
2,7,7
1,2,2
2,3,3
10,2,2
2,5,5
24,3,3
3,4,4
8,5,5
3,4,4
6,5,5
4,3,3
9,3,3
1,5,5
10,5,5
13,4,4
2,4,4
1,6,6
1,4,4
2,3,3
28,4,4
4,3,3
2,4,4
38,7,7
2,5,5
22,4,4
3,3,3
1,2,2
3,2,2
3,2,2
4,5,5
1,5,5
2,3,3
1,2,2
2,2,2
16,5,5
6,5,5
5,4,4
2,3,3
8,4,4
10,4,4
4,5,5
2,3,3
2,7,7
1,3,3
2,4,4
32,2,2
2,3,3
6,3,3
4,5,5
10,7,7
2,2,2
4,6,6
2,4,4
3,2,2
2,8,8
1,4,4
3,3,3
1,3,3
1,5,5
102,4,4
3,3,3
3,3,3
1,2,2
3,2,2
1,3,3
1,3,3
4,6,6
2,6,6
1,3,3
5,2,2
2,6,6
2,5,5
1,3,3
10,5,5
1,4,4
7,4,4
4,4,4
1,4,4
5,4,4
3,3,3
14,2,2
6,5,5
25,3,3
5,3,3
4,5,5
2,3,3
10,6,6
2,4,4
10,6,6
4,3,3
2,6,6
5,2,2
1,4,4
8,3,3
1,3,3
4,4,4
1,5,5
2,4,4
2,4,4
1,4,4
1,2,2
1,4,4
6,8,8
1,4,4
8,6,6
7,3,3
2,4,4
2,7,7
4,2,2
1,3,3
3,4,4
2,4,4
47,2,2
1,3,3
5,4,4
1,4,4
1,2,2
3,2,2
6,5,5
1,6,6
2,5,5
2,3,3
2,4,4
1,4,4
8,8,8
2,2,2
2,3,3
2,3,3
18,3,3
2,4,4
2,2,2
2,5,5
1,6,6
1,3,3
32,5,5
1,3,3
2,2,2
2,9,9
2,4,4
6,5,5
2,4,4
3,5,5
1,4,4
2,6,6
1,5,5
4,3,3
1,5,5
2,3,3
2,4,4
3,4,4
3,2,2
3,4,4
2,6,6
1,4,4
3,2,2
1,6,6
1,5,5
5,3,3
2,6,6
2,3,3
2,5,5
1,2,2
2,5,5
2,5,5
1,2,2
1,3,3
2,5,5
3,4,4
1,6,6
1,5,5
3,2,2
1,4,4
2,6,6
6,2,2
6,5,5
2,2,2
2,5,5
2,5,5
1,2,2
2,4,4
1,4,4
4,5,5
1,5,5
1,5,5
2,2,2
4,4,4
4,4,4
1,2,2
1,3,3
2,3,3
10,4,4
2,6,6
6,5,5
1,5,5
1,5,5
2,5,5
5,2,2
1,4,4
2,2,2
4,4,4
2,7,7
5,3,3
6,5,5
4,4,4
2,3,3
2,3,3
6,5,5
2,4,4
2,4,4
2,4,4
2,7,7
1,4,4
1,3,3
3,2,2
2,6,6
