facts,node_amount,max_depth
70,7,6
2,31,30
2,19,18
16,14,11
2,25,21
6,10,6
8,11,10
18,10,8
3104,6,2
6,20,16
4,24,23
2,20,19
4,25,24
6,15,14
2,19,18
8,12,10
2,22,20
2,18,14
4,17,14
22,9,8
2,25,22
2,15,14
14,12,11
16,14,12
2,12,11
8,14,11
2,20,18
4,25,22
4,28,26
2,20,19
114,8,4
4,17,16
18,13,9
2,28,27
12,18,16
10,29,28
6,13,10
6,15,14
54,8,7
122,9,8
2,10,6
2,5,4
4,16,12
4,13,12
6,18,17
14,12,10
4,18,16
2,21,18
4,24,23
4,31,29
8,13,12
110,3,3
10,17,16
8,29,26
6,21,18
4,27,25
2,37,36
20,18,17
24,18,16
2,15,12
6,19,16
82,10,6
2,14,10
8,13,12
8,22,21
6,17,15
2,17,14
2,22,21
4,14,11
4,17,14
42,10,8
2,23,22
2,28,27
2,11,10
2,24,23
22,18,16
8,22,21
2,12,11
44,13,12
16,13,12
2,25,21
12,23,22
2,22,20
2,18,16
6,14,12
4,24,23
2,21,20
4,23,20
6,14,10
2,26,24
2,16,14
20,11,8
38,19,16
4,11,10
8,17,16
56,6,5
1696,5,2
8,20,17
126,13,12
2,19,16
2,22,21
4,20,19
32,14,13
20,15,14
18,11,10
4,21,20
16,15,13
6,12,10
8,15,14
4,16,15
40,7,4
2,26,25
4,17,15
4,19,18
4,17,14
4,11,8
6,12,8
2,11,10
4,13,12
4,13,12
4,15,14
34,14,11
6,15,14
2,19,18
2,23,20
2,20,16
4,12,8
4,17,16
8,10,8
2,15,14
2,23,22
2,12,8
2,19,18
2,20,19
4,13,12
4,9,8
2,2,2
2,13,12
2,14,13
50,11,10
6,18,16
148,12,10
6,22,21
2,19,17
2,9,8
12,12,9
6,14,12
14,12,11
14,9,8
2,23,22
6,12,11
4,26,24
84,8,6
6,18,16
18,16,14
34,18,15
224,5,4
12,16,14
6,22,21
2,17,16
2,17,16
16,18,16
2,23,22
8,13,12
4,18,16
10,12,9
2,21,20
6,24,22
2,31,30
4,21,18
32,18,16
2,15,11
6,15,11
8,15,14
4,19,18
2,18,17
4,24,22
70,3,2
64,12,10
4,24,23
4,13,12
14,16,15
6,14,12
2,20,19
16,15,13
2,20,17
2,11,10
18,14,10
4,23,22
20,17,16
2,22,18
22,12,10
20,10,9
4,13,11
2,12,8
2,19,18
6,21,18
4,15,12
4,11,10
2,21,20
12,11,10
4,32,31
2,22,18
46,12,11
2,24,21
2,25,24
2,31,29
26,11,10
6,13,12
2,13,12
4,32,30
16,11,10
78,14,12
4,16,13
6,16,15
12,16,13
6,27,26
10,17,16
2,23,22
4,18,17
2,9,8
2,16,15
14,16,14
4,22,20
4,17,14
2,15,14
28,19,18
4,23,21
2,28,27
8,16,14
2,13,12
6,16,14
6,21,18
6,11,10
10,9,8
2,19,15
8,17,16
2,17,16
78,5,3
2,24,22
3060,4,2
14,17,15
4,16,13
6,11,10
8,16,12
4,14,10
4,17,16
348,15,13
4,15,14
6,19,18
34,11,8
10,7,6
12,20,19
2,17,14
4,22,19
4,15,12
2,23,21
4,18,17
28,12,11
6,13,12
4,16,13
2,17,16
4,11,10
6,9,8
4,17,16
40,14,13
12,6,5
2,16,12
2,25,23
4,11,8
14,10,9
2,18,17
60,7,6
2,18,17
4,24,22
4,8,7
6,25,24
4,24,22
4,16,15
4,30,28
2,17,16
2,17,16
2,17,16
10,15,14
6,14,13
28,10,6
4,16,15
2,22,19
4,19,16
2,19,18
26,18,16
2,16,15
2,15,14
6,19,17
60,9,6
6,19,16
2,5,4
10,11,10
1054,7,6
4,13,10
28,22,20
8,17,16
6,18,17
50,6,4
8,18,16
6,18,17
18,13,10
2,15,14
4,26,24
20,10,8
2,16,12
2,20,19
62,11,8
4,20,18
8,19,18
2,24,20
2,25,22
2,20,16
22,16,15
4,17,16
2,15,12
12,13,12
2,14,10
6,13,12
16,10,9
38,9,7
2,20,16
4,12,10
7,8,8
2,17,16
4,20,18
174,7,6
48,17,16
4,19,18
6,12,11
2,15,14
2,18,17
4,25,24
8,21,20
4,15,14
20,11,10
34,10,9
12,19,18
6,19,18
6,24,21
4,5,4
6,15,14
8,9,8
4,11,9
8,15,13
32,12,11
4,21,20
4,20,19
2,26,25
22,15,14
2,4,3
2,15,14
14,16,13
4,11,8
4,13,12
2,17,16
2,33,31
6,11,10
5,5,5
6,24,23
8,24,22
4,15,14
20,11,10
2,20,18
2,20,18
10,15,14
2,18,14
2,14,13
48,5,4
2,20,16
10,14,13
2,28,26
4,13,12
10,17,16
6,19,18
4,8,7
58,2,2
2,21,17
6,15,14
18,16,15
6,14,11
6,15,14
6,13,11
4,16,14
4,22,21
4,20,18
24,15,11
2,16,12
2,28,27
2,19,18
6,17,16
4,21,20
62,6,5
4,10,6
4,15,12
4,11,10
4,23,20
24,13,12
590,10,8
10,16,14
2,31,30
114,9,8
2,29,28
4,22,21
190,10,8
8,19,18
6,10,9
2,19,18
40,9,8
14,26,25
8,8,4
4,21,20
4,15,14
4,28,27
2,19,18
4,14,13
12,26,24
2,18,17
4,19,18
4,15,14
42,9,8
8,7,6
2,14,13
24,12,8
2,21,20
2,8,7
58,13,10
14,9,8
2,5,4
2,18,17
4,15,14
2,17,16
32,11,10
2,19,18
2,19,18
2,12,11
2,14,13
4,11,10
4,13,12
2,21,17
2,18,15
2,18,14
4,15,14
4,23,22
2,26,25
6,17,16
10,11,10
6,11,10
2,22,21
6,7,6
2,13,12
10,17,13
114,5,4
4,20,19
908,5,4
4,22,20
2098,8,7
4,27,26
2,21,20
14,16,13
2,25,22
94,3,2
4,19,17
4,9,6
2,19,15
4,15,13
10,14,13
8,15,14
6,15,14
6,23,22
2,7,6
4,19,16
2,25,24
2,22,21
20,8,5
66,16,14
2,21,20
4,15,14
2,18,17
4,20,18
10,15,12
4,14,10
4,17,14
4,12,8
4,8,7
2,16,14
36,12,8
14,11,8
12,7,4
8,14,13
4,25,22
2,15,14
4,17,16
4,12,11
4,16,15
12,7,6
4,19,18
2,26,25
6,19,16
20,13,12
2,13,12
84,5,4
18,8,4
30,20,18
24,11,9
2,18,17
2,17,14
6,15,14
836,6,4
6,12,10
6,20,19
28,20,19
4,14,13
12,9,8
10,10,9
12,12,9
34,11,10
10,13,12
20,16,12
6,11,7
2,15,14
4,16,12
4,22,21
4,15,14
2,24,20
4,20,19
4,23,20
4,10,9
44,9,8
18,18,15
6,7,6
8,21,20
14,14,13
6,11,10
2,17,16
4,18,17
4,11,10
12,9,5
4,9,8
2,26,23
6,13,12
4,22,20
6,22,20
42,10,9
6,11,10
6,18,14
4,16,15
2,21,17
8,13,12
2,36,35
18,9,7
40,12,10
4,11,7
4,20,18
1072,3,2
6,16,15
4,19,18
2,13,12
272,11,10
28,13,12
8,20,18
2,32,31
12,20,18
2,20,16
426,9,8
2026,3,2
1074,10,7
6,18,17
6,18,15
18,13,12
24,13,12
10,13,12
4,16,13
8,15,14
26,7,3
14,19,16
2,34,32
2,14,10
6,20,19
4,21,20
2,11,10
2,22,21
28,17,16
8,7,6
4,10,9
2,12,11
2,23,22
6,20,17
4,19,18
4,11,10
20,10,9
2,14,12
4,20,16
34,11,10
12,17,16
4,22,20
2,23,22
4,10,6
4,15,12
76,2,2
62,15,14
10,13,12
46,11,10
14,7,6
10,9,8
4,21,20
6,14,13
2,19,18
4,19,16
6,26,23
2,20,16
92,7,6
2,22,20
2,18,16
2,24,20
2,13,11
604,7,6
4,15,14
4,25,24
4,20,19
2,17,15
6,13,12
2,25,24
18,14,13
6,36,34
50,12,8
8,20,17
4,21,20
78,9,8
14,13,10
102,13,12
262,5,4
2,27,26
70,7,6
2,10,9
12,14,12
2,25,24
2,20,19
46,12,11
30,14,10
6,19,17
36,14,11
4,17,16
4,13,12
8,15,12
10,11,10
4,12,9
3,6,6
4,18,17
2,18,14
2,18,14
14,9,6
2,15,14
2,9,8
2,8,8
2,21,17
2,18,14
34,8,6
2,20,19
38,13,12
60,8,7
22,14,12
4,21,19
2,11,10
4,22,20
14,12,9
6,17,16
2,23,22
6,23,21
2,19,16
702,12,11
56,5,4
108,9,8
4,21,18
2,19,18
2,17,16
2,25,24
4,17,14
24,11,10
6,9,8
2,34,31
2,16,12
10,19,18
6,20,18
2,25,22
6,23,22
4,16,13
2,30,26
6,16,15
4,16,15
8,13,12
9,10,10
2,13,12
2,23,22
6,12,11
8,17,16
2,30,29
8,18,14
4,18,14
6,5,4
2,10,9
2,23,22
4,14,12
36,9,8
8,20,17
2,15,12
18,12,10
2,8,7
14,11,10
6,20,19
2,17,16
2,17,14
16,13,12
2,16,15
4,20,19
14,9,8
10,14,12
3,3,3
2,15,14
6,11,10
2,22,18
2,14,13
30,11,10
4,21,18
2,17,16
2,21,17
18,14,12
6,11,10
112,4,3
2,26,25
2,26,22
2,19,18
54,9,8
10,15,14
6,25,24
16,15,14
4,19,18
2,16,15
136,7,4
8,9,9
4,14,13
6,14,13
2,22,20
2,14,13
6,18,16
12,9,8
2,15,14
22,6,5
22,14,13
4,23,22
6,10,9
8,22,20
6,13,12
4,10,9
6,15,12
