facts,node_amount,max_depth
7836,7,5
112638,2,2
11602,2,2
6,2,2
6212,3,3
3893,3,3
3210,2,2
25369,2,2
1384,4,4
119532,2,2
35935,7,4
5842,2,2
2560,4,4
43892,2,2
3830,2,2
200,2,2
1266,3,3
13510,4,2
11762,3,3
1840,2,2
3803,3,3
5383,2,2
307684,2,2
1284,3,3
198,5,3
85526,2,2
2,2,2
42533,2,2
5228,9,5
2568,4,4
53,2,2
2614,6,4
1304,7,4
229220,2,2
7804,3,3
27020,5,3
3134,4,3
11812,3,3
1567,3,2
3818,3,3
230,2,2
7930,3,3
624,2,2
12,3,3
7786,4,4
198,5,3
7820,3,3
106,3,3
3918,6,4
6428,3,3
1304,5,3
26836,2,2
17240,2,2
7690,2,2
2614,7,4
17658,3,3
6020,2,2
7526,2,2
7810,3,3
23172,2,2
1304,6,3
18105,6,3
7502,2,2
111030,3,3
3214,2,2
11778,2,2
7660,3,3
3905,2,2
7562,4,4
2626,2,2
7764,3,3
692,3,3
12,6,4
9,6,4
11718,2,2
153590,2,2
2532,4,4
7966,5,5
2040,2,2
1370,2,2
5812,3,3
1248,3,3
67878,3,3
3983,4,4
4,6,4
119918,2,2
3918,5,3
7636,4,4
4,3,3
3895,2,2
6406,2,2
6406,4,4
3134,4,3
3160,3,3
35316,4,4
13510,5,3
3918,4,2
3436,2,2
3849,3,3
192,3,3
132,2,2
86378,2,2
3203,3,3
33939,2,2
35188,2,2
3910,2,2
3830,2,2
21876,2,2
34480,3,3
3106,2,2
7698,4,4
21,5,3
11624,4,4
1280,3,3
2608,8,5
99,4,2
5881,2,2
2614,8,4
3965,2,2
8,3,3
396,6,3
18,7,5
18,7,5
96,2,2
7606,4,4
17,7,5
63279,2,2
4,2,2
7970,2,2
6268,5,3
43752,3,3
85066,3,3
27020,6,4
7751,2,2
