year,parent_entity,parent_type,lei,total_emissions_MtCO2e
1962,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,0.49824004293295399000
1963,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,1.05022217067969536000
1964,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,4.17401764031188760000
1965,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,6.19384885445059760000
1966,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,7.56204993225597460000
1967,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,7.99871172933415760000
1968,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,10.12602711310044080000
1969,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,12.31828330200544070000
1970,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,14.18472442274377250000
1971,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,19.00253603834800500000
1972,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,20.94175412526603500000
1973,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,54.03509838132456700000
1974,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,127.56894500929051700000
1975,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,126.14208265065049300000
1976,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,145.66152218733238700000
1977,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,154.82500305767901300000
1978,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,140.22852348945567900000
1979,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,143.49902359673235000000
1980,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,135.84393566678834500000
1981,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,121.74272077655630000000
1982,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,103.64986995446191000000
1983,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,96.72316597978736000000
1984,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,97.50877020317248800000
1985,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,97.44740743407728000000
1986,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,142.46940331679163600000
1987,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,187.46692260642256000000
1988,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,181.57305311127883500000
1989,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,247.62357195748627000000
1990,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,273.11435451940613400000
1991,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,328.62562622738866600000
1992,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,310.86164868523302000000
1993,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,304.51468627473835000000
1994,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,321.22307311374947000000
1995,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,317.89637740541739000000
1996,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,317.30965345299554000000
1997,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,334.32225572110307000000
1998,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,361.21322819749012600000
1999,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,343.13515320617472000000
2000,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,352.52090848170540000000
2001,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,345.89794924263458000000
2002,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,332.78495744252834000000
2003,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,358.86651130718832000000
2004,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,377.11281813415377000000
2005,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,428.03971010869885000000
2006,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,454.39745609480164000000
2007,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,439.45569490000334000000
2008,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,455.23134764548798000000
2009,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,405.90544145577970000000
2010,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,416.30205929871766000000
2011,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,482.10270555010158000000
2012,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,520.92344888875338000000
2013,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,538.53373744581913000000
2014,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,542.82692844036014000000
2015,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,565.95905666278890000000
2016,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,579.95476879002912000000
2017,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,628.28433289838420000000
2018,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,692.40347896827330000000
2019,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,728.98221306479497000000
2020,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,705.47238723850790000000
2021,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,705.47238723850790000000
2022,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,705.47238723850790000000
2023,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,705.47238723850790000000
2012,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,8.07636177449011000000
2013,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,8.25807991441613600000
2014,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,15.99119631349041800000
2015,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,20.91777699592938300000
2016,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,23.11858557947794000000
2017,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,22.51285844639118000000
2018,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,34.12262849722071000000
2019,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,26.77515837287833400000
2020,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,31.74010177374613300000
2021,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,54.07124208021129000000
2022,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,93.10574286785019800000
2023,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,106.88798277000307000000
1992,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,2.01909044362252740000
1993,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,2.82672662107153850000
1994,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,4.84581706469406550000
1995,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,11.10499743992390000000
1996,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,17.36417781515373400000
1997,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,18.97945017005176000000
1998,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,22.00808583548555000000
1999,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,27.45963003326637000000
2000,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,31.29590187614917300000
2001,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,35.73790085211873400000
2002,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,41.99708122734857000000
2003,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,45.42953498150687000000
2004,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,49.06389778002742000000
2005,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,53.90971484472148500000
2006,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,69.45671126061494000000
2007,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,72.88916501477324000000
2008,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,77.73498207946731000000
2009,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,81.97507201107462000000
2010,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,85.20561672087067000000
2011,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,96.31061416079457000000
2012,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,95.30106893898329000000
2013,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,105.59843020145817000000
2014,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,113.47288293158606000000
2015,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,103.98315784656018000000
