X,Y,fid,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags
13.7844543,50.9016537,"62","31144849","Hausdorf, Ziegeleigut",,,,,,,,"""bus""=>""yes"",""public_transport""=>""stop_position"""
13.7457832,50.908273,"73","36293001","Hirschbach, Hermsdorfer Straße",,,,,,,,"""bus""=>""yes"",""public_transport""=>""stop_position"""
13.7498927,50.9056778,"74","36295892",Hirschbach,,,,,,,,"""traffic_sign""=>""city_limit"""
13.7685192,50.9070128,"75","36295914",,,give_way,,,,,,"""direction""=>""forward"""
13.6973303,50.8969934,"97","57377730",,,,,,,,,"""maxweight""=>""7.5"""
13.7484596,50.9046219,"99","57409770",Hirschbach,,,,,,,,"""traffic_sign""=>""city_limit"""
13.6929976,50.8975378,"100","58945720",,,,,,,,,"""emergency""=>""fire_hydrant"",""fire_hydrant:diameter""=>""200"",""fire_hydrant:position""=>""sidewalk"",""fire_hydrant:type""=>""underground"""
13.6932751,50.8972493,"101","58945741",,,,,,,,,"""addr:city""=>""Dippoldiswalde"",""addr:country""=>""DE"",""addr:housenumber""=>""2"",""addr:postcode""=>""01744"",""addr:street""=>""Industriering"",""addr:suburb""=>""Reinholdshain"",""entrance""=>""main"",""image""=>""http://commons.wikimedia.org/wiki/File:Kaufland_in_Reinholdshain.jpg"",""opening_hours""=>""Mo-Sa 07:00-22:00"",""phone""=>""+49 3504 69450"",""website""=>""https://www.kaufland.de/Home/index.jsp?FilialID=4300"""
13.7619927,50.8953042,"102","59245491",Reinhardtsgrimma,,,,,,,,"""direction""=>""backward"",""traffic_sign""=>""city_limit"""
13.7002375,50.9089248,"134","158592319","Reinberger Straße, Oberhäslich Steig 2",,bus_stop,"2",,,,,"""bench""=>""yes"",""bus""=>""yes"",""operator""=>""RVSOE"",""public_transport""=>""platform"",""ref:IFOPT""=>""de:14628:1450"",""shelter""=>""yes"""
13.6963607,50.9092918,"304","354671721","Öberhäslich, Gasthof",,,,,,,,"""bus""=>""yes"",""public_transport""=>""stop_position"""
13.6960631,50.9091803,"305","354671723","Oberhäslich, Gasthof",,,,,,,,"""bus""=>""yes"",""public_transport""=>""stop_position"""
13.6960351,50.8975155,"323","368862884",,,,,,,,,"""addr:city""=>""Dippoldiswalde"",""addr:country""=>""DE"",""addr:housenumber""=>""4"",""addr:postcode""=>""01744"",""addr:street""=>""Industriering"",""addr:suburb""=>""Reinholdshain"",""amenity""=>""fuel"",""description:de""=>""EPT-Card opening_hours: 7/24"",""entrance""=>""main"",""image""=>""http://commons.wikimedia.org/wiki/File:Tankstelle_in_Reinholdshain.jpg"",""opening_hours""=>""Mo-Fr 06:00-19:00; Sa,Su 08:00-16:00"",""operator""=>""Rüdiger & Co. Mineralöl GmbH"""
